2.6 4.30e-14 1.98e-06 1.00e+00
2.7 2.75e-14 1.59e-06 1.00e+00
2.8 1.77e-14 1.27e-06 1.00e+00
2.9 1.14e-14 1.02e-06 1.00e+00
3.0 7.32e-15 8.21e-07 1.00e+00
3.1 4.72e-15 6.62e-07 1.00e+00
3.2 3.06e-15 5.34e-07 1.00e+00
3.3 1.98e-15 4.32e-07 1.00e+00
3.4 1.29e-15 3.50e-07 1.00e+00
3.5 8.37e-16 2.84e-07 1.00e+00
3.6 5.45e-16 2.31e-07 1.00e+00
3.7 3.56e-16 1.88e-07 1.00e+00
3.8 2.32e-16 1.53e-07 1.00e+00
3.9 1.52e-16 1.25e-07 1.00e+00
4.0 9.97e-17 1.02e-07 1.00e+00
4.1 6.55e-17 8.36e-08 1.00e+00
4.2 4.31e-17 6.83e-08 1.00e+00
4.3 2.85e-17 5.59e-08 1.00e+00
4.4 1.89e-17 4.57e-08 1.00e+00
4.5 1.26e-17 3.74e-08 1.00e+00
4.6 8.42e-18 3.06e-08 1.00e+00
4.7 5.67e-18 2.50e-08 1.00e+00
4.8 3.84e-18 2.04e-08 1.00e+00
4.9 2.62e-18 1.67e-08 1.00e+00
5.0 1.80e-18 1.36e-08 1.00e+00
5.1 1.25e-18 1.11e-08 1.00e+00
5.2 8.70e-19 9.04e-09 1.00e+00
5.3 6.14e-19 7.37e-09 1.00e+00
5.4 4.38e-19 6.00e-09 1.00e+00
5.5 3.16e-19 4.89e-09 1.00e+00
5.6 2.30e-19 3.98e-09 1.00e+00
5.7 1.69e-19 3.24e-09 1.00e+00
5.8 1.26e-19 2.63e-09 1.00e+00
5.9 9.50e-20 2.14e-09 1.00e+00
6.0 7.22e-20 1.74e-09 1.00e+00
6.1 5.54e-20 1.42e-09 1.00e+00
6.2 4.29e-20 1.15e-09 1.00e+00
6.3 3.34e-20 9.36e-10 1.00e+00
6.4 2.63e-20 7.62e-10 1.00e+00
6.5 2.08e-20 6.20e-10 1.00e+00
6.6 1.65e-20 5.05e-10 1.00e+00
6.7 1.32e-20 4.12e-10 1.00e+00
6.8 1.06e-20 3.37e-10 1.00e+00
6.9 8.57e-21 2.76e-10 1.00e+00
7.0 6.96e-21 2.26e-10 1.00e+00
